EQP_ID,SR_CODE,CNTRWK_NM,DIA_CODE,PIPE_PRESS,PLINE_LT,COMPET_DE,QLTY_GRADE,MIN_DPH,MAX_DPH,AVG_DPH,coordinates
30102107,S,성남 분당지구 지역난방 열배관공사(제1공구),150,16,122.63,19931231,B,0.53,1.7,1.34,"[[127.1356686, 37.416233, 33.511], [127.1357961, 37.4161794, 35.86], [127.1362706, 37.4160014, 34.96], [127.1364864, 37.4159204, 34.96], [127.136592, 37.415881, 36.69], [127.1366877, 37.4158451, 36.69], [127.1368949, 37.4157303, 36.69]]"
30102108,S,성남 분당지구 지역난방 열배관공사(제1공구),150,16,70.42,19931231,B,1.2,3.2,2.12,"[[127.1368949, 37.4157303, 36.69], [127.1371077, 37.4155868, 36.96], [127.1371905, 37.415531, 36.96], [127.1372368, 37.4155713, 36.74], [127.1373228, 37.4156435, 36.83], [127.137488, 37.4155333, 36.96]]"
30102149,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),125,16,69.15,19951231,A,0.27,2.0,1.53,"[[127.1185331, 37.3645733, 71.25], [127.1185329, 37.3646201, 71.25], [127.1184316, 37.3646202, 71.25], [127.1184317, 37.3647321, 71.25], [127.118432, 37.3651146, 67.88]]"
30104054,R,2015년 분당사업소 열배관 추가 및 개선공사,125,16,0.78,20170810,A,1.7,1.7,1.7,"[[127.1136006, 37.3772312, 35.7], [127.1136069, 37.3772361, 35.688]]"
30104373,S,성남 분당지구 지역난방 열배관공사(제1공구),40,16,8.89,19931231,A,1.4,1.4,1.4,"[[127.1507007, 37.404798, 71.55], [127.1506939, 37.4047484, 71.61], [127.1506561, 37.4047467, 71.54]]"
30104374,S,성남 분당지구 지역난방 열배관공사(제1공구),40,16,4.31,19931231,A,1.4,1.4,1.4,"[[127.1506561, 37.4047467, 71.54], [127.1506298, 37.4047452, 71.54], [127.1506296, 37.4047274, 71.54]]"
30105016,S,2003년 분당지사 열배관공사,250,16,167.05,20040531,A,1.0,1.1,1.03,"[[127.1068187, 37.3725087, 40.79], [127.1059019, 37.3724976, 40.92], [127.1058937, 37.3732715, 41.1]]"
30101957,R,분당지점 '96 추가사용자 열배관공사,50,16,1.74,19970731,A,0.7,0.7,0.7,"[[127.125404, 37.3403256, 89.25], [127.1253992, 37.3403104, 89.22]]"
30103539,R,2013년 분당지사 배관 및 밸브 교체공사,150,16,6.99,20150805,A,0.9,1.1,0.97,"[[127.1344735, 37.3697229, 59.025], [127.1344681, 37.3697278, 58.986], [127.1344268, 37.3697646, 58.744], [127.1344218, 37.3697693, 59.126]]"
30103540,R,2013년 분당지사 배관 및 밸브 교체공사,150,16,11.36,20150805,A,1.1,2.7,1.73,"[[127.1344218, 37.3697693, 59.126], [127.1344167, 37.3697731, 58.643], [127.1343945, 37.3697932, 58.458], [127.1343865, 37.3698001, 58.474], [127.1343796, 37.3698067, 58.198], [127.1343569, 37.3698319, 57.121], [127.1343504, 37.3698388, 56.917], [127.1343436, 37.3698457, 56.835]]"
30102759,S,성남 분당지구 지역난방 열배관공사(제1공구),100,16,15.3,19931231,B,1.5,1.5,1.5,"[[127.1200373, 37.3715066, 46.1], [127.1200135, 37.3715266, 46.1], [127.1199394, 37.371471, 46.1], [127.1199145, 37.3714921, 46.1587]]"
30103701,R,분당지점 '96 추가사용자 열배관공사,65,16,14.9,19970731,B,0.7,0.7,0.7,"[[127.1217399, 37.3836987, 35.524], [127.121753, 37.3837098, 36.8], [127.1218377, 37.3836349, 36.8], [127.1218504, 37.383645, 36.8]]"
30102448,S,성남분당지구 열배관 및 열공급 시설공사(제2공구),65,16,5.24,19951231,A,0.52,0.52,0.52,"[[127.1104727, 37.3660337, 42.12], [127.1104724, 37.3659865, 42.12]]"
30102449,R,성남분당지구 열배관 및 열공급 시설공사(제2공구),65,16,25.43,19951231,A,0.52,1.7,1.31,"[[127.1106045, 37.366149, 42.12], [127.1104638, 37.3661511, 42.12], [127.110468, 37.3660342, 42.12]]"
30102755,R,성남 분당지구 지역난방 열배관공사(제1공구),100,16,10.06,19931231,A,1.5,1.79,1.64,"[[127.1181085, 37.3752407, 40.37], [127.1181872, 37.375302, 37.85]]"
30102298,R,2003년 분당지사 열배관공사,150,16,5.5,20040531,A,0.9,1.0,0.92,"[[127.1337239, 37.409157, 39.27], [127.1337338, 37.4091568, 39.32], [127.1337353, 37.4091845, 39.41], [127.1337528, 37.4091846, 39.41]]"
30102299,S,2003년 분당지사 열배관공사,150,16,6.1,20040531,A,0.9,1.0,0.92,"[[127.1337227, 37.4091601, 39.27], [127.1337301, 37.4091599, 39.32], [127.1337316, 37.4091875, 39.41], [127.1337585, 37.4091877, 39.41]]"
30105547,R,성남 분당지구 지역난방 열배관공사(제1공구),65,16,3.55,19931231,A,1.0,1.0,1.0,"[[127.1123237, 37.3770406, 38.35], [127.1123495, 37.3770161, 38.35]]"
